"ExitSpeed","Angle","xwOBA"
65,-75,0.18542
66,-75,0.19348
67,-75,0.178
68,-75,0.2119
69,-75,0.27087
70,-75,0.25958
71,-75,0.27385
72,-75,0.37474
73,-75,0.33905
74,-75,0.29667
75,-75,0.25958
76,-75,0.17115
77,-75,0.08091
78,-75,0.11125
79,-75,0.11609
80,-75,0.16182
81,-75,0.18737
82,-75,0.11125
34,-74,0.11125
35,-74,0.14833
36,-74,0.11125
37,-74,0.13185
38,-74,0.16182
39,-74,0.11125
40,-74,0.16481
41,-74,0.12276
42,-74,0.08091
43,-74,0.10171
44,-74,0.10471
45,-74,0.12714
46,-74,0.15345
47,-74,0.09536
48,-74,0.1068
49,-74,0.12714
50,-74,0.20767
51,-74,0.20343
52,-74,0.16558
53,-74,0.178
54,-74,0.15974
55,-74,0.19778
56,-74,0.24722
57,-74,0.22886
58,-74,0.20698
59,-74,0.21283
60,-74,0.23878
61,-74,0.2331
62,-74,0.25429
63,-74,0.24552
64,-74,0.18414
65,-74,0.2225
66,-74,0.24273
67,-74,0.267
68,-74,0.19778
69,-74,0.19348
70,-74,0.178
71,-74,0.178
72,-74,0.27087
73,-74,0.3115
74,-74,0.25429
75,-74,0.18542
76,-74,0.11125
77,-74,0.04045
78,-74,0.08091
79,-74,0.11609
80,-74,0.19348
81,-74,0.23217
82,-74,0.178
83,-74,0.15706
34,-73,0.09368
35,-73,0.11609
36,-73,0.089
37,-73,0.11484
38,-73,0.16481
39,-73,0.13692
40,-73,0.20538
41,-73,0.16481
42,-73,0.09889
43,-73,0.09207
44,-73,0.09889
45,-73,0.09889
46,-73,0.18414
47,-73,0.18414
48,-73,0.21483
49,-73,0.25958
50,-73,0.24552
51,-73,0.20941
52,-73,0.16395
53,-73,0.18628
54,-73,0.14432
55,-73,0.20343
56,-73,0.20941
57,-73,0.18324
58,-73,0.20538
59,-73,0.19537
60,-73,0.2331
61,-73,0.23878
62,-73,0.25103
63,-73,0.24722
64,-73,0.21649
65,-73,0.27194
66,-73,0.2871
67,-73,0.34231
68,-73,0.29667
69,-73,0.23217
70,-73,0.23962
71,-73,0.24552
72,-73,0.33759
73,-73,0.37654
74,-73,0.32963
75,-73,0.23962
76,-73,0.1424
77,-73,0.12136
78,-73,0.10471
79,-73,0.2119
80,-73,0.29667
81,-73,0.3115
82,-73,0.3115
83,-73,0.23733
34,-72,0.18737
35,-72,0.18542
36,-72,0.11125
37,-72,0.10788
38,-72,0.14355
39,-72,0.11484
40,-72,0.11484
41,-72,0.09889
42,-72,0.02871
43,-72,0
44,-72,0.03296
45,-72,0.0712
46,-72,0.15345
47,-72,0.178
48,-72,0.2225
49,-72,0.23962
50,-72,0.21576
51,-72,0.18256
52,-72,0.13692
53,-72,0.15822
54,-72,0.12361
55,-72,0.18879
56,-72,0.28105
57,-72,0.25103
58,-72,0.23612
59,-72,0.25891
60,-72,0.2225
61,-72,0.24104
62,-72,0.27689
63,-72,0.22886
64,-72,0.21649
65,-72,0.22821
66,-72,0.2225
67,-72,0.267
68,-72,0.2637
69,-72,0.25429
70,-72,0.27621
71,-72,0.30594
72,-72,0.356
73,-72,0.3916
74,-72,0.34452
75,-72,0.27621
76,-72,0.19071
77,-72,0.19778
78,-72,0.14833
79,-72,0.16182
80,-72,0.2225
81,-72,0.24722
82,-72,0.24722
83,-72,0.15706
84,-72,0.16688
85,-72,0.11125
34,-71,0.178
35,-71,0.19348
36,-71,0.15345
37,-71,0.15345
38,-71,0.21323
39,-71,0.19724
40,-71,0.14636
41,-71,0.12385
42,-71,0.02472
43,-71,0
44,-71,0.05742
45,-71,0.09536
46,-71,0.17226
47,-71,0.23733
48,-71,0.23733
49,-71,0.29667
50,-71,0.25031
51,-71,0.19537
52,-71,0.19071
53,-71,0.1958
54,-71,0.20025
55,-71,0.25763
56,-71,0.3039
57,-71,0.27548
58,-71,0.2492
59,-71,0.267
60,-71,0.20941
61,-71,0.2225
62,-71,0.23217
63,-71,0.19537
64,-71,0.22767
65,-71,0.2225
66,-71,0.25763
67,-71,0.27194
68,-71,0.28794
69,-71,0.25429
70,-71,0.21649
71,-71,0.267
72,-71,0.27971
73,-71,0.31786
74,-71,0.36647
75,-71,0.3069
76,-71,0.2637
77,-71,0.3204
79,-71,0.2225
80,-71,0.20941
81,-71,0.20941
82,-71,0.24722
83,-71,0.14833
84,-71,0.16688
85,-71,0.11125
86,-71,0.05933
32,-70,0.16688
33,-70,0.15706
34,-70,0.14833
35,-70,0.1424
36,-70,0.089
37,-70,0.09536
38,-70,0.15094
39,-70,0.12312
40,-70,0.09242
41,-70,0.08243
42,-70,0
43,-70,0.02871
44,-70,0.11484
