"catcher","game_year","close_pitches","strikes_gained","SG100"
666023,2025,2687,54.8251238875091,2.04038421613357
640459,2025,42,0.818015889264643,1.94765687920153
676439,2024,81,1.56158715486526,1.92788537637687
682626,2024,2554,48.7143414216116,1.90737437046247
696100,2025,2917,52.7610482145101,1.80874351095338
686452,2025,505,9.02731335069984,1.78758680211878
650968,2025,1120,19.2807288756594,1.72149364961245
518735,2024,1955,33.4728177953511,1.71216459311259
666165,2024,234,3.85370389185846,1.64688200506772
680862,2025,792,12.4750297460705,1.57513001844325
668939,2025,1923,29.9640143504366,1.55819107386566
669221,2025,2425,37.7036837101914,1.55479108083264
682663,2025,2110,32.0881240237504,1.52076417174173
699625,2025,275,4.14300055429339,1.50654565610669
608348,2024,2332,34.6815379373729,1.48720145529043
664874,2024,392,5.82405427936465,1.48572813249098
663743,2025,1974,28.8630079152063,1.46215845568421
645444,2024,1075,15.6783431656659,1.45845052703869
686676,2025,305,4.3963884729892,1.44143884360302
661388,2025,4054,55.162415378727,1.36069105522267
656577,2024,1425,19.2371525522321,1.3499756177005
605131,2024,1233,15.3232787875459,1.24276389193397
605170,2024,1733,19.7214267635718,1.13799346587258
665804,2025,863,9.59774939808995,1.1121378213314
642020,2024,731,8.08598475344479,1.10615386504033
663728,2025,3566,34.5194455366582,0.96801585913231
663743,2024,3112,29.5703160967678,0.950202959407705
691011,2024,402,3.74335018824786,0.931181638867627
621512,2025,339,3.09869277663529,0.914068665674127
661388,2024,3866,33.7925287261605,0.874095414541141
644433,2024,511,4.08768750820309,0.799938847006475
608348,2025,2858,22.30892021209,0.780578034012947
624512,2024,1332,9.67286933213472,0.726191391301406
624431,2025,2490,15.7008130690083,0.630554741727241
620443,2024,1057,5.808205277659,0.549499080194796
672515,2024,2558,13.9795911135152,0.546504734695668
521692,2024,2789,14.7896065507084,0.530283490523787
543309,2024,2391,12.5404986608773,0.524487606059278
663698,2025,2480,12.4884197413921,0.503565312152909
641680,2024,3419,16.7451395858079,0.489767171272533
693307,2024,766,3.5610732557252,0.464892069938016
553869,2025,2301,10.5911521338858,0.460284751581303
620443,2025,2305,10.2013794658706,0.44257611565599
673237,2025,3410,9.46390898991376,0.277533987974011
553869,2024,2237,5.88851046655327,0.263232475035908
668939,2024,3175,8.22476374730468,0.259047677080462
621512,2024,1271,2.191725759767,0.172441051122502
677943,2025,99,0.0910224607214332,0.0919418795165992
686948,2025,2396,1.95193730480969,0.0814664985312892
607732,2025,1147,0.771110477857292,0.0672284636318476
645305,2024,891,0.192040948197246,0.0215534173060882
666163,2025,1024,0.175644340924919,0.0171527676684491
644433,2025,198,0.0188249358907342,0.00950754337915868
665966,2025,3148,-0.6097856098786,-0.0193705721054193
681351,2024,3716,-1.92015118151903,-0.0516725291043873
666163,2024,2663,-3.1903339382261,-0.119802250778299
666023,2024,2417,-3.47899088263512,-0.143938389848371
664954,2025,67,-0.135131730698049,-0.201689150295596
661531,2024,595,-1.7878108555451,-0.300472412696656
686452,2024,506,-1.63562207203358,-0.323245468781341
543877,2025,1690,-5.48590139392763,-0.324609549936546
645305,2025,184,-0.621652229689062,-0.337854472657099
671056,2024,1651,-6.04986056592315,-0.366436133611336
680728,2024,663,-2.46635141968727,-0.371998705835184
596142,2024,866,-3.29187132418156,-0.380123709489787
660688,2024,3355,-15.0722243436612,-0.449246627232823
663886,2024,3577,-18.8151013730094,-0.526002274895426
596117,2024,1499,-8.01988733094186,-0.535015832617869
686780,2024,1865,-10.0364141766913,-0.538145532262269
518595,2024,2494,-14.9358931612223,-0.598873021700976
669221,2024,2100,-13.7549843555316,-0.654999255025316
592663,2025,4127,-30.8326828684658,-0.747096749902248
665561,2024,449,-3.44168195314705,-0.76652159312852
665804,2024,3349,-25.8851685412228,-0.77292232132645
657136,2025,1569,-12.2188850501552,-0.77876896431837
700250,2025,767,-6.28592739626765,-0.819547248535548
455117,2025,1508,-13.1170793920755,-0.869832850933391
641598,2025,1229,-13.21460668277,-1.07523243960699
689414,2025,1493,-16.2218497591093,-1.08652711045608
682626,2025,2030,-23.0575860911049,-1.13584167936477
640902,2024,388,-4.41935138870031,-1.13900808987121
