,player_name,FF_pfx_z_diff,FF_pfx_x_FC_pfx_z_diff,FF_pfx_x_diff,FF_pfx_z_FC_pfx_x_diff,FF_release_speed_diff,FF_release_spin_rate_diff,FF_release_pos_x_diff,FF_release_pos_z_diff,CU_pfx_z_diff,CU_pfx_x_FC_pfx_z_diff,CU_pfx_x_diff,CU_pfx_z_FC_pfx_x_diff,CU_release_speed_diff,CU_release_spin_rate_diff,CU_release_pos_x_diff,CU_release_pos_z_diff,SL_pfx_z_diff,SL_pfx_x_FC_pfx_z_diff,SL_pfx_x_diff,SL_pfx_z_FC_pfx_x_diff,SL_release_speed_diff,SL_release_spin_rate_diff,SL_release_pos_x_diff,SL_release_pos_z_diff,CH_pfx_z_diff,CH_pfx_x_FC_pfx_z_diff,CH_pfx_x_diff,CH_pfx_z_FC_pfx_x_diff,CH_release_speed_diff,CH_release_spin_rate_diff,CH_release_pos_x_diff,CH_release_pos_z_diff,SI_pfx_z_diff,SI_pfx_x_FC_pfx_z_diff,SI_pfx_x_diff,SI_pfx_z_FC_pfx_x_diff,SI_release_speed_diff,SI_release_spin_rate_diff,SI_release_pos_x_diff,SI_release_pos_z_diff
10,"Chavez, Jesse",0.01389760528488826,2.0532452518579687,0.8333464079273329,1.2337964492155242,1.3552436003302972,181.30225346288944,0.17406482246077615,0.10756606110652367,1.4414595375722545,0.18904046242774553,1.4089393063583815,0.2215606936416185,12.261184971098274,287.8691751085389,0.010921965317919557,0.14778034682080854,,,,,,,,,0.9188288186180061,2.3720314329970913,1.152132589066455,0.30107002531262983,3.586119611621143,396.52821051237606,0.03234680191922612,0.10079668669009045,0.4565165408295835,2.42847093822372,1.2085720942930842,0.7633823031010525,2.140492553331697,249.91974997289412,0.1164333659693848,0.07657024910093924
11,"Civale, Aaron",1.0761577639751554,0.5257987577639751,0.7267892339544513,0.8751672877846791,4.3622815734989615,256.7223888055978,0.07045631469979297,0.060323395445134764,1.8167838397950866,0.6276415880777739,0.42665111188729776,2.017774315985563,10.491389451624173,359.7792766208572,0.17079948771684716,0.006934497613226398,0.4890652014652014,0.817088644688645,0.6160981684981687,0.6900556776556777,5.998197802197808,199.54907161803658,0.12079633699633696,0.16248058608058713,0.2907809523809523,1.3350372294372295,1.5360277056277056,0.08979047619047609,0.8583376623376608,781.2131661442013,0.3846354978354979,0.2592917748917749,0.6145649029982365,1.3568548500881832,1.5578453262786596,0.41357442680776024,4.863744268077582,297.2277564921251,0.04261534391534394,0.15124126984126995
12,"Clevinger, Mike",0.9997361019026381,1.143550017077532,1.0779826411910072,1.0653034777891628,6.992087075321962,170.9660759849712,0.050760753822353344,0.0775552006107727,1.3240812875068193,0.1223802509547191,0.1879476268412439,1.2585139116202946,9.858063284233495,240.9342607746862,0.4456001091107473,0.2874899072558641,0.5487679761330546,0.8826426032120334,0.9482099790985581,0.4832006002465298,6.748867391964552,24.461484181003016,0.09972140343355318,0.013899905318254469,0.4251585314977055,1.6185847840103158,1.553017408123791,0.4907259073842303,0.3006959456896965,917.5229074221565,0.1976404217392953,0.015359919596464877,0.834660165484634,1.5901662234042553,1.5245988475177306,0.9002275413711587,6.538822399527206,229.74061761229314,0.012161643026004532,0.16206190898345163
13,"Cole, Gerrit",0.8626086956521744,1.528834541062802,0.9055012077294685,1.4859420289855076,5.757306763285044,55.24879227053134,0.13675120772946858,0.0683152173913042,1.7432066849458154,0.19129781955868919,0.8146311528920226,1.1198733516124821,9.072241807024398,298.9323671497591,0.09526439482961213,0.12073769421595504,0.6266547940718905,0.24563784491934815,0.3776954884139852,0.0033214607385572,3.3369094407598254,86.05432220240709,0.012183943339064696,0.0449342913289108,0.11298051348857407,1.8233490745264072,1.2000157411930739,0.7363138468219075,2.2501275579438555,869.5743162253459,0.005124029745427361,0.16770884220810967,,,,,,,,
14,"Cortes, Nestor",0.9363896447467877,0.37211035525321245,0.7328420256991686,2.041342025699169,4.94390400604685,100.03590325018877,0.47346220710506426,0.21864682539682612,1.0443537414965987,1.4643537414965988,0.35940136054421773,0.06059863945578231,14.800408163265317,66.65986394557831,0.7419319727891158,0.6728571428571417,0.40155262104841943,1.9828380240985284,0.8778856431461475,0.7033997599039615,9.740028455826788,150.4924191898981,0.5679201458361123,0.41641145347027564,0.22625850340136056,0.34874149659863907,1.45369387755102,0.8786938775510205,3.9672071050642472,1041.1284958427814,0.13222297808012073,0.2152513227513202,0.5818116720372359,0.18641693519513058,1.2913693161475115,1.6867640529896168,3.851847475832429,108.71231650554955,1.3830221983530258,0.6950563909774425
15,"Crawford, Kutter",0.9494700781708697,1.4834958536928577,1.1946580812957632,1.238307850567964,5.8391800550253095,2.841532944823939,0.13839625983201276,0.07529659803869215,1.8210077725076563,0.11419770694439846,0.4030354793414929,1.532170000110562,8.988375512731224,152.25807378906984,0.17890366734109509,0.09931175163355377,0.6833783965563626,0.22018395211191816,0.0686538202851763,0.3945406241592681,3.5745056497175227,5.476324993274375,0.07528114070486991,0.01321966639763339,0.22817178265510696,1.5591400453018824,1.270302272904788,0.5170095550522014,2.0708766174594615,1100.88747428988,0.005973339581868853,0.02697414668437137,,,,,,,,
16,"Cueto, Johnny",0.4271399990926825,1.83968978814136,0.7390288073311255,1.527800979902917,4.489820804790654,10.343144208037302,0.21079975502426995,0.05841600508097766,0.8822004264392325,0.5342004264392324,0.5664605543710021,0.2184605543710021,16.95755508173417,82.52777777777874,0.0392181947405823,0.2928557213930345,0.36973888797769394,0.5974055546443606,0.5032554261658739,0.7309220928325406,3.367042261221357,57.55170940170865,0.038833579355967096,0.04508649062380332,0.4825023132316853,1.8387706570471989,0.7381096762369643,0.6181586675785492,4.3158779328872185,852.8757861635227,0.04749911717244837,0.0007005851246910666,0.059844709560829434,2.227957232246855,1.1272962514366205,1.0408162712494051,4.543908923105519,67.13202020202107,0.1916017398101526,0.09955142617222368
17,"Darvish, Yu",0.5429898509552045,1.4726886734189724,0.7815167984189723,1.2341617259552045,4.306820240447962,160.69163784584998,0.13836431571146246,0.035855154808960066,1.941503270348837,0.014589752906976727,0.7057616279069767,1.250331395348837,14.481736918604653,129.22114825581411,0.397214026162791,0.10620494186046514,0.8838989029971285,0.10927578741923905,0.581896087580761,0.19272702799712849,5.778420001794686,184.32668924982045,0.1241283986898778,0.051890479181622595,0.45245581165158366,1.387523684954751,0.6963518099547511,0.2387160633484163,1.4618000565610885,1274.6492505656108,0.2817134473981904,0.13355062217194558,0.0938576525590552,2.0496069143700786,1.3584350393700786,0.7850295275590552,4.056409940944874,302.5222687007872,0.021066067913386277,0.0822711614173226
18,"Davies, Zach",0.06220169528363395,2.2588263420995434,0.7657255669057452,1.5553024704774323,2.2972397304933736,31.198362674780583,0.18463015286531914,0.06626747808447497,2.14554235274147,0.1923306739093532,1.3007701012844453,0.6524415775476717,12.844338821931771,435.2209019408142,0.21437843037401705,0.23133876534827102,1.4821627906976744,0.21533720930232558,1.708437984496124,0.010937984496123987,11.634302325581402,358.43294573643425,0.08598062015503882,0.04742635658914818,0.38103155710187386,2.2666877250808763,0.773586949887078,1.1120692180919245,7.904840383324171,472.7387362609377,0.1388585729109444,0.0692715009461029,0.06518567802161823,2.343530748444153,0.8504299732503549,1.4279150971721801,1.9161378152636672,63.150916697428784,0.20852815536630653,0.057345370673654195
19,"Doval, Camilo",,,,,,,,,,,,,,,,,1.0245051544536998,0.5353231503637204,0.9499261164984496,0.4607441124084701,11.699133428086526,48.78608651936156,0.0328890128276631,0.07571679590282354,,,,,,,,,0.8641429593574588,2.00922887001038,0.5239796031482098,0.6211063075047112,1.0640797734579053,59.34660402241934,0.052861605748203866,0.01945027259626464
