,player_name,mlbAM_ID,Stuff,Season,CU_pfx_z_diff,CU_pfx_x_FF_pfx_z_diff,CU_pfx_x_diff,CU_pfx_z_FF_pfx_x_diff,CU_release_speed_diff,CU_release_spin_rate_diff,CU_release_pos_x_diff,CU_release_pos_z_diff,SL_pfx_z_diff,SL_pfx_x_FF_pfx_z_diff,SL_pfx_x_diff,SL_pfx_z_FF_pfx_x_diff,SL_release_speed_diff,SL_release_spin_rate_diff,SL_release_pos_x_diff,SL_release_pos_z_diff,CH_pfx_z_diff,CH_pfx_x_FF_pfx_z_diff,CH_pfx_x_diff,CH_pfx_z_FF_pfx_x_diff,CH_release_speed_diff,CH_release_spin_rate_diff,CH_release_pos_x_diff,CH_release_pos_z_diff,SI_pfx_z_diff,SI_pfx_x_FF_pfx_z_diff,SI_pfx_x_diff,SI_pfx_z_FF_pfx_x_diff,SI_release_speed_diff,SI_release_spin_rate_diff,SI_release_pos_x_diff,SI_release_pos_z_diff,FC_pfx_z_diff,FC_pfx_x_FF_pfx_z_diff,FC_pfx_x_diff,FC_pfx_z_FF_pfx_x_diff,FC_release_speed_diff,FC_release_spin_rate_diff,FC_release_pos_x_diff,FC_release_pos_z_diff
15,"Carrasco, Carlos",471911.0,90.0,2020,1.8312121869999998,-0.4739899649999999,1.518261343,0.16103912100000006,10.245891509999993,457.9828769999999,0.04352530600000004,0.025800610000000113,1.2301672579999998,-0.9411404119999999,1.051110896,0.76208405,7.695173759999989,307.95824700000003,0.06421518700000006,0.09039512900000002,1.112796271,-1.839958433,0.152292875,0.879455037,6.022205319999998,1155.1148360000002,0.015438657999999883,0.045913223000000336,0.6065449959999999,-2.5591865059999996,0.5669351979999999,1.385706312,1.356766769999993,115.11924900000031,0.0737073989999999,0.09305690000000055,,,,,,,,
16,"Morton, Charlie",450203.0,90.0,2021,1.881478221,0.33719878599999986,2.463487158,0.24481015100000003,14.879172209999993,712.451078,0.13031593899999971,0.10322570900000017,,,,,,,,,0.7925219250000001,-2.544974755,0.41868638300000005,1.333766447,9.091694019999991,240.13360399999965,0.07436864099999974,0.10594336700000007,0.5563494850000001,-2.489259933,0.36297156099999994,1.569938887,0.8767404900000031,224.42727699999978,0.024939535000000124,0.012988800999999661,0.7274571820000001,-0.8378885550000001,1.288399817,1.3988311900000001,8.038982219999994,84.02244500000006,0.11937419000000005,0.08127004099999979
17,"Morton, Charlie",450203.0,74.0,2023,1.561402265,0.22365473800000002,2.236394159,0.451337156,12.536293829999991,780.7474339999999,0.1188788879999998,0.11182279899999958,,,,,,,,,0.885171843,-2.346644446,0.33390502499999997,1.127567578,8.817163719999996,176.28479500000003,0.06519609799999992,0.14519190299999973,0.474596535,-2.391380454,0.37864103300000007,1.5381428860000002,0.6162980900000008,158.21728299999995,0.047591465,0.06489418199999974,0.32787671399999996,-0.953121158,1.059618263,1.6848627070000002,5.738471169999997,172.80429099999992,0.06851497200000001,0.11654867599999985
18,"Bassitt, Chris",605135.0,78.0,2020,2.4354515709999998,-0.21792348100000014,1.660051202,-0.557476888,23.250832029999998,24.603567000000112,0.44802233,0.3677890769999994,1.378661844,-0.14401898700000015,1.7339556959999998,0.499312839,18.16383363,78.33408700000018,0.10095840899999997,0.04667721499999988,0.4398695020000001,-2.677292183,0.7993175,1.438105181,9.705807119999989,210.4399739999999,0.10792966200000009,0.15968876399999932,0.2550092920000001,-2.541325081,0.6633503980000001,1.622965391,0.6469756999999987,47.67536399999972,0.07662172599999995,0.07830200899999973,0.564664527,-1.1021762640000001,0.775798419,1.313310156,5.450151539999993,23.42580399999997,0.017185773000000015,0.03476644699999998
19,"Bassitt, Chris",605135.0,74.0,2023,2.2754727050000003,0.06549176199999995,1.592181182,-0.748783285,21.779377519999997,114.25235100000009,0.27470513399999996,0.2771197660000002,1.24455129,0.11766833599999993,1.644357756,0.28213813,16.840600780000003,147.957398,0.21351679300000015,0.1617053679999998,0.5285188810000001,-2.433776946,0.907087526,0.998170539,8.826616759999993,399.4108490000001,0.05940162900000012,0.048088846999999824,0.3749789830000001,-2.4221206840000002,0.895431264,1.151710437,0.5480507399999937,58.06727499999988,0.02335526600000004,0.04228174299999932,0.430815265,-0.8857213190000001,0.640968101,1.0958741550000002,4.655387719999993,50.68852900000002,0.0027947870000000208,0.04700934100000076
20,"Flexen, Chris",623167.0,90.0,2021,2.613003517,-0.876887238,0.8265113390000001,-0.9096049400000001,15.546758249999996,600.877266,0.08621592299999992,0.004353347999999535,,,,,,,,,0.732863551,-2.550960999,0.847562422,0.9705350260000001,10.047463480000005,781.305274,0.07987251400000006,0.1780593210000001,,,,,,,,,0.917290527,-1.118743311,0.584655266,0.78610805,3.6904211800000013,192.34224099999983,0.023043953999999922,0.008533750999999867
21,"Irvin, Cole",608344.0,73.0,2021,1.852205224,-1.707710842,1.007637245,-1.1521316270000002,13.811489199999997,99.3772550000001,0.013389805999999949,0.056382890000000074,1.2407270030000002,-1.5895179350000002,0.889444338,-0.540653406,7.761490620000004,51.920165,0.228300964,0.15107784000000013,0.629167129,-0.31493962500000006,0.385133972,0.070906468,6.5103827699999925,371.9546540000001,0.18665483199999988,0.12082299999999968,0.335279216,-0.19111255000000016,0.5089610469999999,0.36479438100000006,0.2879067599999985,68.30892700000004,0.04451564600000002,0.0001290799999997816,0.0886936519999999,-1.2738063480000001,0.573732751,0.788767249,0.1041858299999916,157.431734,0.26695722200000005,0.03371435100000042
22,"Burnes, Corbin",669203.0,109.0,2021,1.805601009,-0.21281619899999993,1.4166959970000002,-0.176088813,15.2035865,259.4015879999997,0.21084594,0.15726818900000072,1.170522649,-0.5221613039999999,1.107350892,0.45898954700000005,8.382773110000002,253.84843199999978,0.08422320100000003,0.11627895099999996,0.53775122,-2.31015122,0.6806390239999999,1.091760976,5.687600000000003,733.9827890000001,0.12660975600000002,0.20607121999999922,0.145934271,-2.142459695,0.512947499,1.483577925,0.45805084999999224,51.340103,0.022304670999999998,0.01686647399999952,0.22064494699999992,-0.8023202239999999,0.827191972,1.408867249,1.1734317300000043,159.57863199999974,0.10533669300000004,0.06789955899999978
23,"Javier, Cristian",664299.0,101.0,2023,2.4079705689999997,-0.532394533,1.482504397,-0.393071639,16.18664416,681.7687610000003,0.09625528100000014,0.08368167699999951,1.355718212,-0.382431175,1.632467755,0.659180718,13.237185530000005,296.51007100000015,0.12132717900000012,0.0063567810000000335,0.910299114,-2.876349534,0.8614506040000001,1.104599816,9.034624649999998,142.60328300000037,0.17148163000000016,0.037649307000000576,,,,,,,,,,,,,,,,
24,"Keuchel, Dallas",572971.0,69.0,2020,,,,,,,,,1.177373738,-1.7680086579999998,0.878463203,-0.287828283,12.518686869999996,62.60822499999995,0.08722943699999997,0.15691197700000004,0.581743555,0.08456241500000017,0.9741078700000001,0.30780189999999996,9.78643147999999,537.8031450000001,0.03795793700000005,0.09251017600000022,0.5574310849999999,-0.07233431099999987,0.8172111440000001,0.33211437,1.182521989999998,147.07535899999993,0.11973020499999998,0.10408504399999963,0.4601683499999999,-1.3281144779999998,0.438569023,0.42937710500000004,3.5732323200000025,14.303132000000005,0.0047474750000000565,0.010134680000000174
