,player_name,mlbAM_ID,Stuff,Season,FF_pfx_z_diff,FF_pfx_x_CH_pfx_z_diff,FF_pfx_x_diff,FF_pfx_z_CH_pfx_x_diff,FF_release_speed_diff,FF_release_spin_rate_diff,FF_release_pos_x_diff,FF_release_pos_z_diff,CU_pfx_z_diff,CU_pfx_x_CH_pfx_z_diff,CU_pfx_x_diff,CU_pfx_z_CH_pfx_x_diff,CU_release_speed_diff,CU_release_spin_rate_diff,CU_release_pos_x_diff,CU_release_pos_z_diff,SL_pfx_z_diff,SL_pfx_x_CH_pfx_z_diff,SL_pfx_x_diff,SL_pfx_z_CH_pfx_x_diff,SL_release_speed_diff,SL_release_spin_rate_diff,SL_release_pos_x_diff,SL_release_pos_z_diff,SI_pfx_z_diff,SI_pfx_x_CH_pfx_z_diff,SI_pfx_x_diff,SI_pfx_z_CH_pfx_x_diff,SI_release_speed_diff,SI_release_spin_rate_diff,SI_release_pos_x_diff,SI_release_pos_z_diff,FC_pfx_z_diff,FC_pfx_x_CH_pfx_z_diff,FC_pfx_x_diff,FC_pfx_z_CH_pfx_x_diff,FC_release_speed_diff,FC_release_spin_rate_diff,FC_release_pos_x_diff,FC_release_pos_z_diff
21,"Irvin, Cole",608344.0,80.0,2021,0.629167129,-0.070906468,0.385133972,0.31493962500000006,6.5103827699999925,371.9546540000001,0.18665483199999988,0.12082299999999968,1.2230380950000002,-1.078543713,1.392771217,-1.537265599,7.301106430000004,471.3319090000002,0.20004463799999983,0.17720588999999975,0.611559874,-0.960350806,1.27457831,-0.925787378,1.251107850000011,423.8748190000001,0.04164613200000011,0.03025484000000045,0.29388791300000006,0.4380545789999999,0.1238270749999999,-0.020339590999999935,6.222476009999994,303.6457270000001,0.14213918599999986,0.12095207999999946,0.717860781,-0.644639219,0.958866723,0.40363327699999996,6.406196940000001,214.5229200000001,0.45361205399999993,0.1545373510000001
22,"Burnes, Corbin",669203.0,103.0,2021,0.53775122,-1.091760976,0.6806390239999999,2.31015122,5.687600000000003,733.9827890000001,0.12660975600000002,0.20607121999999922,1.267849789,0.32493502100000005,2.097335021,0.5045502109999999,9.515986499999997,993.3843769999999,0.337455696,0.36333940899999995,0.6327714289999999,0.015589916000000037,1.787989916,1.1396285709999998,2.695173109999999,987.8312209999999,0.04238655499999999,0.08979226899999926,0.39181694899999997,-1.604708475,0.16769152499999984,2.164216949,6.145650849999996,682.6426860000001,0.10430508500000002,0.1892047459999997,0.31710627300000005,-0.26456900399999994,1.507830996,2.089506273,4.514168269999999,893.5614209999999,0.02127306299999998,0.13817166099999945
23,"Burnes, Corbin",669203.0,82.0,2023,,,,,,,,,1.499340604,0.27607449100000003,2.017317265,0.24190217000000003,9.468167739999998,745.3959500000001,0.34617733600000006,0.3771336020000007,0.458579164,0.4450606829999999,2.186303457,1.28266361,3.2575908599999934,828.260659,0.021405776000000043,0.10466082000000032,0.320022044,-1.47798643,0.2632563440000001,2.061264818,5.980885670000006,440.53885500000024,0.12911065900000007,0.19555893000000069,0.34939425,-0.326068822,1.415173952,2.0906370240000003,5.101054759999997,606.4395030000001,0.106207198,0.21774702
24,"Javier, Cristian",664299.0,78.0,2023,0.910299114,-1.104599816,0.8614506040000001,2.876349534,9.034624649999998,142.60328300000037,0.17148163000000016,0.037649307000000576,1.4976714549999999,0.377904581,2.3439550010000003,0.4683789650000001,7.152019510000002,539.1654779999999,0.07522634900000003,0.12133098400000009,0.445419098,0.527867939,2.4939183590000003,1.520631322,4.202560880000007,153.90678799999978,0.050154451000000044,0.04400608800000061,,,,,,,,,,,,,,,,
25,"Keuchel, Dallas",572971.0,99.0,2020,0.581743555,-0.30780189999999996,0.9741078700000001,-0.08456241500000017,9.78643147999999,537.8031450000001,0.03795793700000005,0.09251017600000022,,,,,,,,,0.5956301829999999,-1.186265103,1.852571073,-1.2619361530000002,2.732255390000006,600.41137,0.04927149999999991,0.06440180099999981,0.02431247000000003,0.5094092440000001,0.15689672600000004,-0.6419935000000001,8.603909489999992,390.72778600000015,0.08177226799999993,0.011574867999999405,0.12157520500000008,-0.746370923,1.412676893,-0.5447307650000001,6.213199159999988,523.5000130000001,0.04270541200000011,0.08237549600000005
26,"Keuchel, Dallas",572971.0,83.0,2021,0.7793273869999999,-0.0017070950000000473,0.7954169799999999,-0.014382498000000021,9.488417960000007,579.871232,0.09623367700000007,0.16666150299999938,,,,,,,,,0.389476492,-0.996403575,1.79011346,-1.183186377,1.7359354900000028,743.741563,0.11324728499999992,0.07278174400000026,0.003746220999999994,0.788334798,0.005375087000000001,-0.789963664,8.197105410000006,354.60286900000006,0.12323906699999987,0.04128922700000004,0.22484203199999997,-0.5759712210000001,1.369681106,-0.568867853,5.586278370000002,582.7269040000001,0.03842000899999998,0.05034451099999959
27,"Dunning, Dane",641540.0,65.0,2023,0.562226227,-0.920647337,0.9012528999999999,2.384126464,4.843484309999994,359.822038,0.12917246800000015,0.08454282400000057,1.640288028,0.462231657,2.2841318939999997,0.18161220899999986,7.942749730000003,397.6751780000002,0.08180709599999991,0.10938036499999981,0.528224786,-0.165288278,1.656611959,1.293675451,3.5698326000000122,586.0476190000002,0.10552550600000021,0.06099328900000067,0.23592935800000003,-1.585291246,0.236608991,2.057829595,5.294528839999998,280.4760939999999,0.07340835199999995,0.0028177459999998433,0.42566168400000004,-0.318613409,1.5032868279999998,2.247561921,3.239914259999992,415.544623,0.0630978200000003,0.047341610000000145
28,"Kremer, Dean",665152.0,86.0,2023,0.9911214930000001,-1.216701386,0.47684609999999994,2.684668979,9.305382510000001,588.3346110000002,0.11423457500000023,0.1175283459999994,1.299748176,0.45511772500000003,2.148665211,0.3937993099999999,7.203164659999999,1040.7291210000003,0.30343789500000007,0.26916458,0.532430168,0.634653165,2.328200651,1.161117318,2.4848696399999994,942.2797620000001,0.06950710000000004,0.1054684589999999,0.402593306,-1.747265849,0.05371836299999999,2.096140792,6.571820500000001,287.0033540000002,0.06987816999999996,0.11943911100000015,0.30388411800000004,-0.09608731100000001,1.597460175,1.997431604,3.4238922600000024,720.0678520000001,0.26495650400000015,0.2609440549999995
29,"Bundy, Dylan",605164.0,93.0,2020,0.886684049,-1.108082033,0.673116123,2.6678822049999997,7.777475939999988,803.4715569999998,0.04595359299999968,0.088391004,1.7711141229999998,-0.023214963000000033,1.7579831929999998,0.010084033000000048,8.746082950000002,729.0422950000002,0.14419625899999966,0.16501761999999953,0.78310852,-0.34157910900000005,1.4396190469999999,0.998089636,2.2918532600000106,918.0551810000002,0.14743959500000026,0.06205240800000045,0.62461697,-1.766794795,0.014403361000000059,2.4058151260000002,8.453244779999991,728.0591020000002,0.1413055029999999,0.14779072899999957,,,,,,,,
30,"Cease, Dylan",656302.0,85.0,2021,0.27491645099999995,-1.659863014,0.24191780799999996,2.176697273,18.57278203,901.3132279999998,0.07445250100000012,0.20006814600000045,2.815364128,-0.849528938,1.052251884,-0.9135833060000002,1.7871383399999985,1112.494089,0.055484842000000034,0.12204340400000024,1.387644471,-0.712964559,1.188816263,0.514136351,7.798419980000006,1238.4704869999998,0.34249055100000003,0.0053346030000005484,,,,,,,,,,,,,,,,
