,player_name,FF_pfx_z_diff,FF_pfx_x_SI_pfx_z_diff,FF_pfx_x_diff,FF_pfx_z_SI_pfx_x_diff,FF_release_speed_diff,FF_release_spin_rate_diff,FF_release_pos_x_diff,FF_release_pos_z_diff,CU_pfx_z_diff,CU_pfx_x_SI_pfx_z_diff,CU_pfx_x_diff,CU_pfx_z_SI_pfx_x_diff,CU_release_speed_diff,CU_release_spin_rate_diff,CU_release_pos_x_diff,CU_release_pos_z_diff,SL_pfx_z_diff,SL_pfx_x_SI_pfx_z_diff,SL_pfx_x_diff,SL_pfx_z_SI_pfx_x_diff,SL_release_speed_diff,SL_release_spin_rate_diff,SL_release_pos_x_diff,SL_release_pos_z_diff,CH_pfx_z_diff,CH_pfx_x_SI_pfx_z_diff,CH_pfx_x_diff,CH_pfx_z_SI_pfx_x_diff,CH_release_speed_diff,CH_release_spin_rate_diff,CH_release_pos_x_diff,CH_release_pos_z_diff,FC_pfx_z_diff,FC_pfx_x_SI_pfx_z_diff,FC_pfx_x_diff,FC_pfx_z_SI_pfx_x_diff,FC_release_speed_diff,FC_release_spin_rate_diff,FC_release_pos_x_diff,FC_release_pos_z_diff
25,"Carrasco, Carlos",0.5387791939404842,1.2616509135863976,0.7168819049464209,2.517312012473303,1.2741474193087186,117.75098600905085,0.06898714382585358,0.0707115410341217,1.0589052445302445,0.0028655888030888477,1.9813984073359072,0.9196275740025739,10.829810167310171,491.3575048262546,0.11928732303732326,0.15169683075933005,0.44497116163782824,0.43878068544735216,1.5397521330854662,1.5335616568949901,7.07330663997331,292.44177510844156,0.010842747509414163,0.07814719481386145,0.5366107043003594,1.3145589801624284,0.6639738383703899,1.441922114232459,4.562942351218226,854.5185727599523,0.038577619491412696,0.0026659565969904264,,,,,,,,
26,"Castillo, Luis",0.6438171632289278,1.4427282913165265,0.5388179271708685,2.6253633817163227,0.23016378396020798,191.34467849223984,0.03921456582633054,0.05430486376368737,,,,,,,,,0.45490253374076906,0.4035957155589509,1.5779505029284442,1.526643684746626,10.360386745607315,259.32775573572553,0.08995285841609402,0.1259163483575243,0.27093259239179546,1.9368107285925122,0.04473548989488285,1.7106136260955995,8.444923646878081,226.08943488943487,0.06124134815216431,0.16911201469835202,,,,,,,,
27,"Cease, Dylan",0.011622884770346564,1.8170878323932311,0.40057883427343544,2.229289551437013,0.31503357507384067,15.557856567284489,0.06505103411227497,0.09069030351866747,2.9942528735632186,1.2686206896551722,0.9490459770114943,0.7765862068965518,15.346551724137939,205.68850574712678,0.08359770114942533,0.030321839080460045,1.514266068759342,1.2334663677130044,0.9842002989536622,0.7034005979073245,9.072929745889397,341.52795216741424,0.18295964125560538,0.06937967115097177,0.2990263157894735,2.2546842105263156,0.03701754385964906,1.918640350877193,18.566140350877205,772.1078947368419,0.14100877192982453,0.15469298245614027,,,,,,,,
28,"Cessa, Luis",0.3492844617130283,1.4791871540074957,0.6182537908743939,2.446725406594918,0.37987656018979976,105.98511790393013,0.0482426159612146,0.0048736375202000914,,,,,,,,,1.2518630605956864,0.3965152345087299,1.7009257103731599,0.8455778842862034,10.836069839096197,337.38549999999987,0.1765063334474496,0.019461828141047022,0.3882820329277022,1.8264638511095204,0.27097709377236934,1.7091589119541875,5.838529842860552,509.2056796536797,0.19595391485155267,0.004183454340934034,,,,,,,,
29,"Chavez, Jesse",0.47041414611447174,1.5967287110283854,0.37522568636575127,2.4423685435086084,0.7852489530013997,68.61749651000468,0.05763145649139134,0.030995812005584433,0.984942996742671,0.645557003257329,2.6175114006514657,0.9870114006514656,14.40167752442997,537.788925081433,0.10551140065146525,0.0712100977198693,,,,,,,,,0.46231227778842265,1.9155148921675076,0.056439505226629105,1.509642119605714,5.72661216495284,146.60846053948194,0.08408656405015869,0.024226437589151217,0.4565165408295835,0.7633823031010525,1.2085720942930842,2.42847093822372,2.140492553331697,249.91974997289412,0.1164333659693848,0.07657024910093924
30,"Cimber, Adam",1.1445150671055964,0.19732337300582437,0.11027402959157828,1.452112469702999,0.01612252649856316,32.11914107596431,0.020108164815685114,0.03643028976594431,,,,,,,,,1.3946770988574269,1.325059612518629,1.6326570151160316,1.7022745014548293,8.629754808033482,334.1475409836062,0.04424419842452565,0.09768983748491955,,,,,,,,,,,,,,,,
31,"Cishek, Steve",0.5456320679135982,1.3991269682309802,0.4690571749915262,2.4138162111361043,0.5393284133978398,95.32836717714827,0.04269566758080945,0.12310841832804442,,,,,,,,,0.8148847324665769,0.9467858011761145,2.814969944398621,1.0532994107559295,13.313249387316716,10.43166133597606,0.002160858290658041,0.009000361972692161,0.2621329923273657,1.9901329923273658,0.12194884910485948,1.6060511508951407,6.74276214833759,271.8511508951408,0.049033248081841396,0.06172890025575484,,,,,,,,
32,"Civale, Aaron",0.4615928609769189,1.1403636607622116,0.8310560923242082,2.4330126140633386,0.5014626945786205,40.50536768652728,0.1130716586151369,0.09091787439613519,2.431348742793323,0.01307668507953752,1.9844964381659573,0.45992898970690343,15.355133719701755,657.0070331129823,0.12818414380150323,0.15817576745449635,1.1036301044634378,0.20252374169040843,2.173943494776828,0.8677896486229819,10.86194207027539,496.77682811016166,0.1634116809116809,0.011239316239317176,0.32378395061728416,1.9496021324354658,0.02181762065095383,1.6476358024691355,5.722081930415243,483.9854096520762,0.4272508417508418,0.10805050505050495,0.6145649029982365,0.41357442680776024,1.5578453262786596,1.3568548500881832,4.863744268077582,297.2277564921251,0.04261534391534394,0.15124126984126995
33,"Clevinger, Mike",0.1650759364180041,1.9782101825621659,0.4466162063267234,2.5899023253068933,0.45326467579475604,58.77454162732192,0.03859911079634881,0.08450670837267893,2.1587414529914533,0.7122799145299148,1.7125464743589744,0.266084935897436,16.3968856837607,11.193643162393073,0.45776175213675185,0.4495518162393157,1.3834281416176886,0.04798243772739941,2.472808826616289,1.0413982472712007,13.287689791491758,205.27913343129012,0.11188304645955771,0.1759618143017061,0.4095016339869284,2.45324494949495,0.028418560606060517,2.015324754901961,6.839518345216902,687.7822898098634,0.20980206476529983,0.1774218285799165,0.834660165484634,0.9002275413711587,1.5245988475177306,1.5901662234042553,6.538822399527206,229.74061761229314,0.012161643026004532,0.16206190898345163
34,"Cobb, Alex",0.5634451219512195,1.4585548780487805,0.6029085365853657,2.624908536585366,0.4595934959349677,123.76880733944927,0.1918455284552849,0.06283739837398361,1.8256937669376694,0.2586659891598917,1.8027974254742545,0.2357696476964768,10.960962059620584,516.7637934118729,0.06712330623306295,0.09758739837398345,1.3765548780487804,0.4165548780487805,1.6449085365853657,0.6849085365853657,9.700406504065043,440.56880733944945,0.1978455284552849,0.005162601626016894,0.590786033827675,1.833037290109082,0.22842612452506428,1.4706773808064713,5.1555823834620185,512.1411624490702,0.10418462229848413,0.030998202394084018,,,,,,,,
