,FF-FF,FF-CU,FF-SL,FF-CH,FF-SI,FF-FC,CU-FF,CU-CU,CU-SL,CU-CH,CU-SI,CU-FC,SL-FF,SL-CU,SL-SL,SL-CH,SL-SI,SL-FC,CH-FF,CH-CU,CH-SL,CH-CH,CH-SI,CH-FC,SI-FF,SI-CU,SI-SL,SI-CH,SI-SI,SI-FC,FC-FF,FC-CU,FC-SL,FC-CH,FC-SI,FC-FC
"boxberger, brad",27.483751160631382,,13.463324048282265,14.020427112349118,,,,,,,,,13.27762302692665,,4.36397400185701,4.828226555246054,,,14.206128133704734,,4.642525533890436,3.6211699164345403,,,,,,,,,,,,,,
"bradish, kyle",20.722528850978424,5.117912694430507,12.644254892122428,4.666332162568992,1.2543903662819869,,6.77370797792273,1.7561465127947817,2.8098344204716508,0.7526342197691922,0.8028098344204716,,12.343201204214752,4.164576016056197,10.085298544907175,2.107375815353738,1.053687907676869,,4.064224786753638,1.455092824887105,2.007024586051179,0.8028098344204716,0.2007024586051179,,0.5519317611640743,0.4014049172102358,2.1575514300050176,0.2007024586051179,1.053687907676869,,,,,,,
"brebbia, john",23.605947955390334,,22.58364312267658,,,,,,,,,,22.490706319702603,,31.226765799256505,,,,,,,,,,,,,,,,,,,,,
"brieske, beau",20.51282051282051,2.4864024864024863,9.401709401709402,11.421911421911423,2.253302253302253,,2.8749028749028747,0.0777000777000777,0.4662004662004662,0.3885003885003885,,,8.624708624708624,0.4662004662004662,5.749805749805749,3.8850038850038846,2.0202020202020203,,11.655011655011654,0.777000777000777,3.108003108003108,4.662004662004662,1.9425019425019423,,2.4864024864024863,,2.0202020202020203,1.7094017094017095,0.9324009324009324,,,,,,,
"brubaker, jt",1.2425021422450728,0.6426735218508998,1.4138817480719794,0.3856041131105398,2.2707797772065126,,0.7283633247643531,3.0848329048843186,3.6846615252784916,1.0711225364181662,7.412167952013711,,1.5852613538988862,4.1988003427592115,11.653813196229649,0.8568980291345331,12.982005141388175,,0.5569837189374465,1.2853470437017995,0.9425878320479864,0.8568980291345331,1.4138817480719794,,1.8851756640959727,6.726649528706084,13.581833761782347,1.8851756640959727,17.60925449871465,,,,,,,
"bubic, kris",25.81786030061892,10.344827586206897,,14.323607427055704,,,12.42263483642794,4.199823165340407,,5.083996463306808,,,,,,,,,12.24580017683466,7.161803713527852,,8.355437665782492,,,,,,,,,,,,,,
"buehler, walker",10.611854684512428,5.927342256214149,5.25812619502868,3.4416826003824093,0.7648183556405354,7.743785850860421,6.787762906309751,3.154875717017208,0.7648183556405354,1.0516252390057361,0.28680688336520077,4.780114722753346,4.588910133843212,0.19120458891013384,2.390057361376673,0.28680688336520077,0.9560229445506693,3.3460803059273423,2.676864244741874,1.6252390057361379,0.28680688336520077,0.7648183556405354,0.3824091778202677,2.1032504780114722,1.147227533460803,0.47801147227533464,0.7648183556405354,0.09560229445506692,0.47801147227533464,2.0076481835564053,7.934990439770555,5.449330783938815,2.294455066921606,2.198852772466539,2.1032504780114722,4.780114722753346
"bumgarner, madison",8.250460405156538,6.666666666666667,0.11049723756906078,3.535911602209945,0.1841620626151013,13.186003683241251,6.703499079189687,2.0626151012891345,,1.289134438305709,0.14732965009208102,8.5451197053407,0.036832412523020254,,0.036832412523020254,,,0.11049723756906078,4.051565377532229,2.4677716390423576,,0.9208103130755065,0.40515653775322286,3.4622467771639043,0.3314917127071823,0.29465930018416203,,0.29465930018416203,0.1841620626151013,0.3683241252302026,12.596685082872927,7.219152854511971,0.036832412523020254,5.267034990791897,0.5524861878453038,10.644567219152854
"bundy, dylan",16.8348623853211,3.8073394495412844,8.394495412844037,8.853211009174313,1.7889908256880735,,3.853211009174312,1.6972477064220184,2.3394495412844036,2.1100917431192663,0.5963302752293578,,8.623853211009175,1.8807339449541285,9.541284403669724,2.293577981651376,1.651376146788991,,8.394495412844037,2.6605504587155964,1.834862385321101,4.908256880733945,0.9174311926605505,,1.9724770642201837,0.5045871559633028,1.8807339449541285,0.5504587155963303,2.064220183486239,,,,,,,
"burke, brock",41.09062980030722,,11.367127496159753,8.60215053763441,1.6897081413210446,,,,,,,,11.443932411674346,,6.912442396313365,0.9216589861751152,0.9984639016897081,,8.141321044546851,,1.30568356374808,2.7649769585253456,0.8448540706605223,,2.1505376344086025,,0.6912442396313364,0.6912442396313364,0.30721966205837176,,,,,,,
