,#,Season,Name,Team,IP,Stf+ FF,Stf+ SI,Stf+ FC,Stf+ SL,Stf+ CU,Stf+ CH,fg_ID,key_mlbam,player_name,CH_pfx_x,CU_pfx_x,FF_pfx_x,SL_pfx_x,CH_pfx_z,CU_pfx_z,FF_pfx_z,SL_pfx_z,CH_release_pos_x,CU_release_pos_x,FF_release_pos_x,SL_release_pos_x,CH_release_pos_z,CU_release_pos_z,FF_release_pos_z,SL_release_pos_z,CH_release_speed,CU_release_speed,FF_release_speed,SL_release_speed,CH_release_spin_rate,CU_release_spin_rate,FF_release_spin_rate,SL_release_spin_rate,mlbAM_ID,SI_pfx_x,SI_pfx_z,SI_release_pos_x,SI_release_pos_z,SI_release_speed,SI_release_spin_rate,FC_pfx_x,FC_pfx_z,FC_release_pos_x,FC_release_pos_z,FC_release_speed,FC_release_spin_rate,Year
0,1,2020,Aaron Civale,CLE,74.0,67.0,83.0,104.0,100.0,150.0,91.0,19479,650644,"Civale, Aaron",-1.278728814,1.002619926,-0.328148148,0.620322581,0.726864407,-1.314649446,1.342592593,-0.154435484,-1.036271186,-0.638450185,-0.724444444,-0.823709677,5.860254237,6.120811808,6.073333333,6.0275,85.30338983,75.68118081,91.25925926,82.24112903,2031.779661,2836.121771,2339.592593,2703.395161,650644.0,-1.125349462,0.981236559,-0.90561828,5.933709677,91.75430108,2268.233871,0.419264305,0.734277929,-0.735476839,6.100926431,87.4106267,2497.773224,2020
1,2,2020,Aaron Nola,PHI,71.1,114.0,101.0,,,147.0,110.0,16149,605400,"Nola, Aaron",-1.205350318,1.261503268,-1.149321429,,0.202133758,-0.846895425,1.15275,,-1.964171975,-1.814640523,-1.814107143,,4.831815287,5.067058824,4.943321429,,84.92133758,78.60816993,92.84928571,,1517.550955,2498.696078,2180.344086,,605400.0,-1.446612903,0.691008065,-1.816774194,4.930846774,91.78145161,2100.858871,,,,,,,2020
2,3,2021,Aaron Nola,PHI,180.2,103.0,106.0,102.0,,126.0,87.0,16149,605400,"Nola, Aaron",-1.253089983,1.21576779,-1.10638565,,0.183837012,-0.854606742,1.183569507,,-1.957385399,-1.795418227,-1.804789238,,4.936078098,5.189612984,5.078941704,,85.15280136,78.46566792,92.89865471,,1511.023769,2529.333333,2198.209865,,605400.0,-1.458619048,0.73647619,-1.804666667,5.044142857,92.0497619,2137.221429,0.081956522,0.625217391,-1.941521739,5.163695652,86.71521739,2179.108696,2021
3,5,2023,Aaron Nola,PHI,193.2,95.0,100.0,111.0,,118.0,70.0,16149,605400,"Nola, Aaron",-1.229333333,1.045475947,-1.016156388,,0.387564103,-0.919283521,1.262257709,,-2.121051282,-1.993500512,-1.995011013,,5.004230769,5.242425793,5.18530837,,85.92641026,79.36888434,92.71938326,,1558.18863,2590.776749,2304.225166,,605400.0,-1.450773196,0.756941581,-1.979810997,5.11847079,91.77783505,2221.576857,0.06873913,0.536608696,-1.996608696,5.192521739,86.32434783,2266.43913,2023
4,6,2020,Adam Wainwright,STL,65.2,61.0,80.0,101.0,,137.0,92.0,2233,425794,"Wainwright, Adam",-1.13173913,1.401573034,-0.188255814,,0.576086957,-1.175252809,1.220581395,,-1.399130435,-1.181769663,-1.148604651,,6.176521739,6.308932584,6.205348837,,81.84782609,73.49269663,89.15930233,,1683.478261,2790.820225,2218.290698,,425794.0,-1.010753968,0.946309524,-1.198492063,6.140912698,89.27539683,2187.694444,0.500328638,0.507793427,-1.201314554,6.226384977,85.01267606,2343.333333,2020
5,7,2021,Adam Wainwright,STL,206.1,81.0,96.0,106.0,,133.0,84.0,2233,425794,"Wainwright, Adam",-1.153418367,1.382030948,-0.160034602,,0.643826531,-1.227882012,1.217647059,,-1.333469388,-1.175077369,-1.167647059,,6.221887755,6.368810445,6.273598616,,82.74081633,73.47601547,89.02422145,,1714.687179,2839.100292,2227.562937,,425794.0,-1.061531323,1.023294664,-1.206972158,6.214965197,89.05580046,2229.295006,0.52958457,0.540712166,-1.18462908,6.30495549,84.94035608,2408.166667,2021
6,9,2020,Alec Mills,CHC,62.1,72.0,86.0,,91.0,68.0,94.0,13834,621219,"Mills, Alec",-1.266944444,1.071478873,-0.794791667,1.378947368,0.307152778,-0.871971831,1.160291667,-0.199684211,-3.085972222,-3.092112676,-3.121125,-3.134,5.605555556,5.79084507,5.794458333,5.668842105,80.71458333,66.62112676,89.78208333,77.48526316,1709.340278,2377.697183,2181.41841,2583.578947,621219.0,-1.350925926,0.603734568,-3.113425926,5.733518519,89.8867284,2184.759375,,,,,,,2020
7,11,2020,Andrew Heaney,LAA,66.2,101.0,,,,89.0,93.0,15423,571760,"Heaney, Andrew",1.354074074,-0.47739777,1.153413078,,0.67010582,-0.29260223,1.307033493,,2.97962963,3.024572491,3.037511962,,5.388042328,5.408884758,5.254625199,,82.96719577,79.21486989,91.51499203,,2004.820106,2549.598513,2434.786859,,571760.0,,,,,,,,,,,,,2020
8,12,2021,Anthony DeSclafani,SFG,167.2,100.0,99.0,,104.0,84.0,80.0,13050,543101,"DeSclafani, Anthony",-1.309330855,0.526394231,-0.80083815,0.344852136,0.411152416,-0.514519231,1.35666185,0.383198248,-1.906022305,-1.799615385,-1.738554913,-1.812519168,5.423457249,5.542163462,5.644248555,5.601029573,88.2267658,82.9625,94.07789017,87.94589266,1582.501859,1964.378641,2264.572464,2197.644766,543101.0,-1.297121849,0.932983193,-1.682226891,5.624138655,94.00357143,2091.541226,,,,,,,2021
9,13,2020,Antonio Senzatela,COL,73.1,77.0,,,103.0,96.0,63.0,15488,622608,"Senzatela, Antonio",-0.70328125,0.643333333,-0.502161765,0.434533333,0.74046875,-0.569351852,0.898455882,0.151533333,-2.58015625,-2.056203704,-2.559985294,-2.582733333,5.835859375,6.21787037,5.843911765,5.890133333,86.42578125,79.16574074,94.38764706,86.30833333,2128.671875,2316.898148,2140.011817,2177.993333,622608.0,,,,,,,,,,,,,2020
10,14,2023,Blake Snell,SDP,180.0,120.0,,,107.0,106.0,72.0,13543,605483,"Snell, Blake",1.066849315,-1.048038278,0.38210902,-0.248100962,0.915325342,-0.866092504,1.56577547,0.591394231,2.322363014,2.047799043,2.082031149,2.089182692,6.448613014,6.629409888,6.623036989,6.630697115,86.73441781,80.98054226,95.51077223,88.36442308,1795.582192,2398.634185,2430.183355,2344.985577,605483.0,,,,,,,,,,,,,2023
11,15,2020,Brady Singer,KCR,64.1,71.0,87.0,,104.0,,88.0,25377,663903,"Singer, Brady",-1.2998,,-0.695714286,0.401720698,0.8662,,1.025714286,-0.143690773,-1.4366,,-1.357142857,-1.454663342,5.4782,,5.478571429,5.502468828,87.798,,92.88571429,83.10149626,2164.3,,2196.428571,2387.4025,663903.0,-1.140489396,1.006508972,-1.296916803,5.503817292,93.3233279,2240.758564,,,,,,,2020
12,16,2020,Brandon Woodruff,MIL,73.2,114.0,103.0,,127.0,121.0,116.0,16162,605540,"Woodruff, Brandon",-1.282122642,0.330641026,-0.549688995,0.238409091,0.776226415,-0.846538462,1.430789474,0.062045455,-1.438254717,-1.341025641,-1.388397129,-1.438484848,5.829292453,6.017692308,5.931602871,5.853257576,86.73584906,83.52948718,96.57679426,88.17045455,1817.429245,2605.833333,2456.779376,2524.930233,605540.0,-1.152722372,1.11638814,-1.409407008,5.924043127,96.2703504,2363.608108,,,,,,,2020
13,17,2021,Brandon Woodruff,MIL,179.1,117.0,108.0,,123.0,117.0,108.0,16162,605540,"Woodruff, Brandon",-1.222907268,0.377754237,-0.52875396,0.315352697,0.570401003,-1.018792373,1.387064414,-0.226721992,-1.516842105,-1.400847458,-1.425543823,-1.5406639,5.833007519,5.97184322,5.901837381,5.822033195,86.45864662,83.77055085,96.52249208,86.47095436,1906.077694,2643.995763,2356.38836,2552.79668,605540.0,-1.163209055,1.064647137,-1.452183755,5.913408788,96.24780293,2287.791722,,,,,,,2021
14,18,2023,Bryce Elder,ATL,174.2,63.0,82.0,,92.0,,65.0,27779,693821,"Elder, Bryce",-0.93285347,,-0.329047619,-0.010188679,0.277994859,,1.247989418,-0.143028798,-1.184678663,,-1.125079365,-1.065630586,6.498354756,,6.530767196,6.530168818,84.98971722,,90.72301587,82.74121152,2069.794344,,2124.068783,2414.167498,693821.0,-1.103581395,0.693711628,-1.190772093,6.499776744,89.47386047,1970.087523,,,,,,,2023
15,20,2020,Carlos Carrasco,CLE,68.0,90.0,86.0,,112.0,124.0,131.0,6632,471911,"Carrasco, Carlos",-0.578885135,0.787083333,-0.73117801,0.319932886,0.148277027,-0.570138889,1.261073298,0.03090604,-1.502297297,-1.443333333,-1.486858639,-1.551073826,5.722804054,5.742916667,5.768717277,5.678322148,87.6722973,83.44861111,93.69450262,85.99932886,1317.061017,2930.15873,2472.175853,2780.1341,471911.0,-1.298113208,0.654528302,-1.560566038,5.675660377,92.33773585,2357.056604,,,,,,,2020
16,22,2021,Charlie Morton,ATL,185.2,90.0,89.0,103.0,,138.0,92.0,4676,450203,"Morton, Charlie",-1.50163522,1.380538321,-1.082948837,,0.25081761,-0.838138686,1.043339535,,-2.069308176,-2.125255474,-1.994939535,,5.450503145,5.453220803,5.556446512,,86.43081761,80.64333942,95.52251163,,2100.345912,3052.930594,2340.479516,,450203.0,-1.445920398,0.48699005,-1.97,5.543457711,94.64577114,2116.052239,0.20545098,0.315882353,-2.114313725,5.475176471,87.48352941,2424.501961,2021
17,24,2023,Charlie Morton,ATL,163.1,74.0,80.0,89.0,,139.0,100.0,4676,450203,"Morton, Charlie",-1.437123288,1.133175896,-1.103218263,,0.024349315,-0.651881107,0.909521158,,-2.438458904,-2.492141694,-2.373262806,,5.301712329,5.335081433,5.446904232,,86.04486301,82.3257329,94.86202673,,2131.284247,3088.316476,2307.569042,,450203.0,-1.481859296,0.434924623,-2.420854271,5.38201005,94.24572864,2149.351759,-0.0436,0.581644444,-2.441777778,5.330355556,89.12355556,2480.373333,2023
18,25,2020,Chris Bassitt,OAK,63.0,78.0,91.0,88.0,107.0,80.0,105.0,12304,605135,"Bassitt, Chris",-1.445773196,1.013595506,-0.646455696,1.0875,0.791649485,-1.203932584,1.231518987,-0.147142857,-1.218969072,-0.878876404,-1.326898734,-1.427857143,5.748865979,5.956966292,5.589177215,5.5425,83.58659794,70.04157303,93.29240506,75.12857143,1949.547368,2184.590909,2159.987342,2238.321429,605135.0,-1.309806094,0.976509695,-1.250277008,5.667479224,92.64542936,2112.311978,0.129342723,0.66685446,-1.344084507,5.623943662,87.84225352,2183.413146,2020
19,27,2023,Chris Bassitt,TOR,200.0,74.0,92.0,95.0,106.0,93.0,83.0,12304,605135,"Bassitt, Chris",-1.334903226,1.164365482,-0.4278157,1.216542056,0.570354839,-1.176598985,1.09887372,-0.14567757,-1.528548387,-1.194441624,-1.469146758,-1.682663551,5.582354839,5.907563452,5.630443686,5.468738318,83.60580645,70.65304569,92.43242321,75.59182243,1754.961165,2268.624365,2154.372014,2302.329412,605135.0,-1.323246964,0.723894737,-1.492502024,5.588161943,91.88437247,2096.304739,0.213152401,0.668058455,-1.471941545,5.677453027,87.77703549,2205.060543,2023
20,28,2021,Chris Flexen,SEA,179.2,90.0,,95.0,,90.0,103.0,13896,623167,"Flexen, Chris",-1.018283063,0.655790698,-0.170720641,,0.799814385,-1.080325581,1.532677936,,-0.831972158,-0.665883721,-0.752099644,,6.717447796,6.899860465,6.895507117,,82.70324826,77.20395349,92.75071174,,1325.491879,2707.674419,2106.797153,,623167.0,,,,,,,0.413934625,0.615387409,-0.72905569,6.886973366,89.06029056,2299.139394,2021
21,29,2021,Cole Irvin,OAK,178.1,73.0,79.0,,90.0,77.0,80.0,19244,608344,"Irvin, Cole",1.066366723,-0.326404494,0.681232751,-0.208211587,0.752139219,-0.470898876,1.381306348,0.140579345,1.766112054,1.566067416,1.579457222,1.807758186,6.187962649,6.365168539,6.308785649,6.157707809,84.24380306,76.94269663,90.75418583,82.99269521,1584.47708,2055.808989,1956.431734,2008.351899,608344.0,1.190193798,1.046027132,1.623972868,6.308914729,90.46627907,1888.122807,0.1075,1.47,1.3125,6.3425,90.65,1799.0,2021
22,31,2021,Corbin Burnes,MIL,167.0,109.0,96.0,145.0,134.0,136.0,103.0,19361,669203,"Burnes, Corbin",-1.1582,0.939135021,-0.477560976,0.629789916,0.6142,-0.653649789,1.15195122,-0.018571429,-0.891,-0.553544304,-0.764390244,-0.848613445,5.79588,6.159219409,6.00195122,5.885672269,90.7124,81.1964135,96.4,88.01722689,1873.383065,2866.767442,2607.365854,2861.214286,669203.0,-0.990508475,1.006016949,-0.786694915,5.985084746,96.85805085,2556.025751,0.349630996,0.931306273,-0.869726937,5.934051661,95.22656827,2766.944486,2021
23,33,2023,Corbin Burnes,MIL,193.2,,103.0,127.0,144.0,160.0,82.0,19361,669203,"Burnes, Corbin",-1.153468208,0.863849057,,1.032835249,0.587774566,-0.911566038,,0.129195402,-0.786271676,-0.44009434,,-0.7648659,5.689017341,6.066150943,,5.793678161,89.32080925,79.85264151,,86.06321839,2048.712209,2794.108159,,2876.972868,669203.0,-0.890211864,0.90779661,-0.657161017,5.884576271,95.30169492,2489.251064,0.261705744,0.937168816,-0.680064478,5.906764361,94.42186401,2655.151712,2023
24,35,2023,Cristian Javier,HOU,162.0,101.0,,,108.0,91.0,78.0,17606,664299,"Javier, Cristian",-1.324369748,1.019585253,-0.462919144,1.169548611,0.641680672,-0.855990783,1.551979786,0.196261574,-1.900756303,-1.825529954,-1.729274673,-1.850601852,5.678991597,5.800322581,5.716640904,5.722997685,83.71008403,76.55806452,92.74470868,79.50752315,2397.681034,2936.846512,2255.077751,2551.587822,664299.0,,,,,,,,,,,,,2023
25,36,2020,Dallas Keuchel,CHW,63.1,69.0,87.0,88.0,63.0,,99.0,9434,572971,"Keuchel, Dallas",1.196380597,,0.222272727,-0.656190476,0.530074627,,1.111818182,-0.065555556,1.289776119,,1.251818182,1.339047619,6.155671642,,6.248181818,6.091269841,78.55447761,,88.34090909,75.82222222,1679.969582,,2217.772727,2280.380952,572971.0,1.039483871,0.554387097,1.371548387,6.144096774,87.1583871,2070.697368,-0.216296296,0.651649832,1.247070707,6.238047138,84.76767677,2203.469595,2020
26,37,2021,Dallas Keuchel,CHW,162.0,74.0,68.0,91.0,75.0,,83.0,9434,572971,"Keuchel, Dallas",1.226623877,,0.431206897,-0.563489583,0.432913992,,1.212241379,0.0434375,1.313992298,,1.217758621,1.427239583,6.078510911,,6.245172414,6.005729167,79.55468549,,89.04310345,77.81875,1629.956354,,2209.827586,2373.697917,572971.0,1.22124879,0.436660213,1.437231365,6.037221684,87.7517909,1984.559223,-0.143057229,0.657756024,1.275572289,6.128855422,85.14096386,2212.683258,2021
27,38,2023,Dane Dunning,TEX,172.2,72.0,79.0,90.0,101.0,78.0,65.0,19409,641540,"Dunning, Dane",-1.409643705,0.874488189,-0.508390805,0.246968254,0.412256532,-1.228031496,0.974482759,-0.115968254,-2.519287411,-2.437480315,-2.390114943,-2.413761905,5.423847981,5.533228346,5.508390805,5.48484127,85.67030879,77.72755906,90.5137931,82.10047619,1774.852381,2172.527559,2134.674419,2360.9,641540.0,-1.173034714,0.64818589,-2.445879059,5.421030235,90.96483763,2055.328475,0.093643123,0.837918216,-2.456189591,5.471189591,88.91022305,2190.397004,2023
28,39,2023,Dean Kremer,BAL,172.2,106.0,84.0,104.0,116.0,93.0,86.0,19350,665152,"Kremer, Dean",-1.281117318,0.867547893,-0.804271218,1.047083333,0.412430168,-0.887318008,1.403551661,-0.12,-2.540027933,-2.236590038,-2.425793358,-2.470520833,5.736927374,6.006091954,5.85445572,5.842395833,85.32653631,78.12337165,94.63191882,82.84166667,1715.428571,2756.157692,2303.763182,2657.708333,665152.0,-1.334835681,0.815023474,-2.609906103,5.617488263,91.89835681,2002.431925,0.316342857,0.716314286,-2.275071429,5.997871429,88.75042857,2435.496423,2023
29,40,2020,Dinelson Lamet,SDP,69.0,109.0,113.0,,129.0,,,17186,659275,"Lamet, Dinelson",,,-0.518666667,0.36236136,,,1.421871795,0.194025045,,,-1.283025641,-1.386547406,,,6.186230769,6.168837209,,,97.03717949,86.52629696,,,2495.5,2614.149013,659275.0,-1.05742268,1.357010309,-1.271030928,6.171237113,96.97835052,2442.43299,,,,,,,2020
30,41,2020,Dylan Bundy,LAA,65.2,84.0,89.0,,104.0,90.0,93.0,12917,605164,"Bundy, Dylan",-1.084285714,0.673697479,-0.411169591,0.355333333,0.696912442,-1.074201681,1.583596491,-0.086196078,-2.306129032,-2.161932773,-2.260175439,-2.453568627,6.064562212,6.229579832,6.152953216,6.002509804,82.20322581,73.45714286,89.98070175,79.91137255,1620.293839,2349.336134,2423.765396,2538.34902,605164.0,-1.069882353,1.321529412,-2.164823529,6.212352941,90.65647059,2348.352941,,,,,,,2020
31,42,2021,Dylan Cease,CHW,165.2,124.0,,,127.0,101.0,85.0,18525,656302,"Cease, Dylan",-0.611917808,0.440334076,-0.37,0.576898455,1.289863014,-1.525501114,1.564779465,-0.097781457,-1.476118721,-1.531603563,-1.550571222,-1.818609272,6.220228311,6.342271715,6.420296457,6.225562914,78.09771689,79.88485523,96.67049892,85.89613687,1641.26484,2753.758929,2542.578068,2879.735327,656302.0,,,,,,,,,,,,,2021
32,44,2023,Dylan Cease,CHW,177.0,125.0,,,120.0,83.0,60.0,18525,656302,"Cease, Dylan",-0.579292929,0.296848485,-0.264247159,0.209285714,1.315959596,-1.31410101,1.565916193,0.161007937,-1.144040404,-1.331030303,-1.314694602,-1.58568254,6.065858586,6.134080808,6.273082386,6.045468254,74.5979798,80.22929293,95.56420455,86.2502381,1677.838384,2640.834343,2518.96091,2795.456349,656302.0,,,,,,,,,,,,,2023
33,45,2020,Framber Valdez,HOU,70.2,88.0,96.0,,,154.0,113.0,17295,664285,"Valdez, Framber",1.078431373,-1.103304843,0.166190476,,0.216568627,-1.146581197,0.871904762,,0.998431373,0.923960114,0.88047619,,5.815098039,5.786581197,5.925238095,,88.75,80.54700855,93.16666667,,1719.901961,2981.817664,2305.809524,,664285.0,1.04973913,0.479269565,0.872991304,5.889947826,93.14069565,2252.216405,,,,,,,2020
34,47,2023,Framber Valdez,HOU,198.0,,97.0,126.0,,118.0,95.0,17295,664285,"Valdez, Framber",1.29034632,-0.739930362,,,0.388766234,-1.206058496,,,0.703441558,0.814345404,,,6.162878788,6.126058496,,,90.14220779,80.1637883,,,1675.654267,2846.123404,,,664285.0,1.315039711,0.823126354,0.58900361,6.233371841,95.28592058,2187.464441,-0.223662338,-0.121168831,0.815220779,6.091714286,85.65948052,2591.530184,2023
35,48,2021,Frankie Montas,OAK,187.0,113.0,109.0,,113.0,,125.0,14309,593423,"Montas, Frankie",-0.960576071,,-0.583795455,0.471051282,0.31816839,,1.450636364,0.358487179,-1.184194978,,-1.157886364,-1.235076923,6.234106352,,6.262215909,6.233717949,87.48788774,,96.42147727,88.0574359,1595.451183,,2397.806598,2478.451282,593423.0,-1.240872027,1.18195923,-1.162015855,6.253544734,96.1801812,2307.557583,0.323787879,0.577171717,-1.267676768,6.207828283,90.70353535,2440.959596,2021
36,49,2023,Freddy Peralta,MIL,165.2,117.0,,,115.0,85.0,50.0,18679,642547,"Peralta, Freddy",-1.185879518,0.354039548,-0.573675155,0.620421394,0.391325301,-0.452316384,1.288499656,0.243614263,-2.860578313,-2.489322034,-2.797364074,-2.863225284,5.023036145,5.353474576,5.080254646,4.931863857,88.60771084,76.95706215,94.43916036,82.38833063,1707.318072,2177.115819,2414.193393,2341.669368,642547.0,,,,,,,,,,,,,2023
37,50,2023,George Kirby,SEA,190.2,97.0,106.0,,125.0,109.0,94.0,25436,669923,"Kirby, George",-0.965874439,0.76863354,-0.69118705,0.916774194,0.129192825,-1.065403727,1.268624101,-0.202921147,-1.473497758,-1.546086957,-1.522517986,-1.677634409,5.781883408,5.82378882,5.924352518,5.759498208,85.21569507,81.82298137,96.11672662,86.24480287,963.990991,2343.221184,2208.910245,2335.334532,669923.0,-1.315287356,0.866190476,-1.489885057,5.936863711,95.80952381,2229.277504,,,,,,,2023
38,54,2020,Gerrit Cole,NYY,73.0,131.0,,,132.0,122.0,107.0,13125,543037,"Cole, Gerrit",-1.290447761,0.792292683,-1.016344937,0.420540541,0.882686567,-0.941902439,1.49153481,0.28875,-1.927313433,-1.84195122,-1.907721519,-1.881351351,5.463283582,5.763560976,5.614287975,5.674898649,88.31492537,83.36195122,96.71360759,88.70912162,1750.223881,2803.195122,2505.107595,2581.577703,543037.0,-1.356666667,1.333333333,-2.066666667,5.436666667,95.96666667,2504.666667,,,,,,,2020
39,55,2021,Gerrit Cole,NYY,181.1,141.0,122.0,,145.0,109.0,84.0,13125,543037,"Cole, Gerrit",-1.318574822,0.871397849,-0.999478199,0.445341426,0.832280285,-0.999247312,1.497412437,0.040546282,-2.004251781,-1.96088172,-1.919899929,-1.943550835,5.509833729,5.769311828,5.678291637,5.694264036,89.83895487,83.43010753,97.67426733,88.38861912,1719.2,2799.793548,2452.342878,2600.116844,543037.0,-1.4036,1.2136,-2.0436,5.5808,97.664,2374.72,,,,,,,2021
40,57,2023,Gerrit Cole,NYY,209.0,125.0,,106.0,136.0,114.0,72.0,13125,543037,"Cole, Gerrit",-1.185879828,0.839318182,-0.697786084,0.393557833,0.843175966,-1.143838384,1.45226567,0.145300146,-2.03111588,-1.962121212,-1.970391029,-2.108550512,5.751630901,5.996616162,5.954117309,5.867862372,89.09098712,82.90934343,96.65520414,89.13265007,1580.828326,2782.909091,2412.007476,2542.308931,543037.0,,,,,,,0.233608696,0.902695652,-2.241043478,5.916130435,92.71608696,2511.252174,2023
41,60,2020,Jacob deGrom,NYM,68.0,130.0,,,143.0,127.0,148.0,10954,594798,"deGrom, Jacob",-1.125989583,0.604,-0.575795678,0.305583127,0.317395833,-0.362,1.393732809,0.411985112,-0.99859375,-1.139,-1.13848723,-1.12044665,5.501145833,5.618333333,5.489017682,5.544739454,91.39739583,84.06666667,98.56817289,92.5044665,1637.8125,2631.833333,2477.324165,2565.240695,594798.0,,,,,,,,,,,,,2020
42,63,2021,Joe Musgrove,SDP,181.1,84.0,87.0,99.0,139.0,136.0,78.0,12970,605397,"Musgrove, Joe",-0.764788732,0.91769341,-0.415293132,1.16942402,0.374295775,-1.140573066,1.063031826,-0.130784314,-1.519577465,-1.189942693,-1.418994975,-1.352843137,6.302746479,6.503266476,6.337319933,6.365122549,87.06338028,82.06805158,93.33467337,84.07009804,2069.267606,2808.150646,2600.47395,2783.514706,605397.0,-0.875,0.545333333,-1.414133333,6.405066667,93.17866667,2471.466667,0.145046729,0.691551402,-1.382485981,6.391943925,90.5682243,2633.015038,2021
43,65,2023,Johan Oviedo,PIT,177.2,83.0,100.0,,103.0,87.0,75.0,22487,670912,"Oviedo, Johan",-1.279512195,0.587364865,-0.816638152,0.423296804,0.640569106,-0.078738739,0.851394354,0.274684932,-2.369349593,-2.310022523,-2.485397776,-2.518420091,5.774552846,5.864887387,5.565885372,5.620027397,88.13577236,80.92612613,95.80350727,88.18621005,1817.121951,2387.853604,2268.929855,2469.449315,670912.0,-1.273959732,0.755973154,-2.465033557,5.553288591,95.65436242,2299.892617,,,,,,,2023
44,66,2020,Johnny Cueto,SFG,63.1,74.0,84.0,,100.0,102.0,69.0,6893,456501,"Cueto, Johnny",-0.936850649,0.279589041,-0.888306878,0.081327434,0.387142857,0.004703196,1.232619048,0.619911504,-2.625746753,-2.687534247,-2.523888889,-2.681504425,5.432207792,5.452557078,5.535291005,5.454070796,82.45454545,80.69726027,91.39761905,84.83274336,1333.334416,2337.392694,2222.188329,2231.123894,456501.0,-1.375378151,0.797226891,-2.514033613,5.578991597,90.85462185,2122.661017,,,,,,,2020
45,67,2020,Jon Lester,CHC,61.0,77.0,81.0,83.0,,91.0,94.0,4930,452657,"Lester, Jon",1.114117647,-0.890075188,0.593942308,,0.539779412,-0.399699248,1.274166667,,2.724852941,2.738270677,2.694647436,,5.691691176,5.842180451,5.679679487,,83.23308824,73.38796992,89.37948718,,1908.779412,2566.345865,2220.639871,,452657.0,1.1328125,0.5904375,2.7185,5.642125,88.3725,2060.591195,-0.048162651,0.904096386,2.732078313,5.699578313,87.36415663,2343.21988,2020
46,68,2021,Jordan Lyles,TEX,180.0,85.0,90.0,88.0,102.0,106.0,89.0,7593,543475,"Lyles, Jordan",-1.137916667,0.574553903,-0.583270548,0.843838384,0.770555556,-1.215762082,1.504794521,0.018138528,-1.039351852,-0.83027881,-0.880984589,-1.009134199,6.080509259,6.160724907,6.129023973,6.03033189,86.3875,80.27639405,93.0375,83.32251082,1595.430556,2618.891791,2277.718081,2663.719068,543475.0,-1.112593985,1.025037594,-0.866052632,6.016654135,91.64736842,2199.575188,0.469277108,0.113975904,-0.712048193,6.12,86.29518072,2540.783133,2021
47,70,2023,Jordan Lyles,KCR,177.2,75.0,76.0,96.0,99.0,95.0,73.0,7593,543475,"Lyles, Jordan",-1.112247557,0.564783784,-0.509417928,1.178561151,0.539250814,-1.278837838,1.357008149,0.103798561,-1.851009772,-1.539675676,-1.593993015,-1.778230216,5.831140065,6.045378378,5.944062864,5.892143885,85.45798046,79.4472973,91.21338766,80.16834532,1676.937294,2436.880109,2250.244994,2514.464234,543475.0,-1.065675676,0.965297297,-1.720756757,5.910756757,90.48027027,2135.572207,0.316139535,0.556139535,-1.565116279,6.01227907,86.7744186,2411.192488,2023
48,72,2023,Jordan Montgomery,2 Tms,188.2,75.0,91.0,100.0,,116.0,99.0,16511,656756,"Montgomery, Jordan",0.768867362,-0.253585781,0.507909968,,1.069195231,-0.546120556,1.311511254,,1.651639344,1.725208655,1.788135048,,6.606661699,6.675965997,6.696109325,,83.49344262,80.51051005,93.34244373,,1674.616192,2355.835659,2343.24026,,656756.0,1.286200803,0.876337349,1.727373494,6.740297189,93.27493976,2199.421648,-0.215652174,0.581521739,1.858913043,6.668695652,88.19782609,2374.913043,2023
49,79,2023,JP Sears,OAK,172.1,93.0,,,93.0,,83.0,23429,676664,"Sears, JP",1.394447005,,0.93055517,-0.575836694,0.273640553,,1.223615545,0.511663306,1.495668203,,1.182886884,1.5334375,4.525391705,,4.978619015,4.541875,84.10276498,,93.07175573,81.44798387,1715.637413,,2134.967989,2471.530777,676664.0,,,,,,,,,,,,,2023
50,82,2023,Justin Steele,CHC,173.1,88.0,47.0,,123.0,93.0,69.0,17312,657006,"Steele, Justin",0.912857143,-0.883888889,-0.110894988,-1.172004405,0.623928571,-0.854444444,0.897046539,-0.030044053,1.886785714,1.715,2.018597852,1.919911894,6.103928571,6.214444444,6.083454654,6.140484581,87.48571429,80.73333333,91.78526253,83.25253304,1744.5,2680.777778,2401.553693,2657.80974,657006.0,0.688541667,0.932708333,1.832083333,6.174583333,92.15416667,2395.711111,,,,,,,2023
51,84,2023,Justin Verlander,2 Tms,162.1,97.0,,,127.0,105.0,102.0,8700,434378,"Verlander, Justin",-1.282231405,0.584134615,-0.66501153,0.36676783,0.747190083,-1.10225,1.565418909,0.318482549,-1.705123967,-1.590153846,-1.369392775,-1.550333839,6.893057851,6.9605,7.029730976,6.969726859,85.1892562,78.24538462,94.30053805,86.87355623,1824.0,2715.763566,2428.064043,2511.326154,434378.0,,,,,,,,,,,,,2023
