"","pitch_type","handedness","zone","pitch_speed","F_Runs"
"515","CH","R_L",3,88,-6.88032194104791
"516","CH","R_L",3,89,3.65808291451777
"517","CH","R_L",3,90,0.847490300874853
"518","CH","R_L",3,91,-4.56590236967217
"519","CH","R_L",3,92,-2.51980956277549
"520","CH","R_L",4,55,-5.16394809457318
"521","CH","R_L",4,57,10.3878053044683
"522","CH","R_L",4,58,-70.31561490107
"523","CH","R_L",4,61,2.55919274860959
"524","CH","R_L",4,69,2.12574594502472
"525","CH","R_L",4,71,-14.6080115068235
"526","CH","R_L",4,73,-8.96423647606013
"527","CH","R_L",4,75,4.48206690456707
"528","CH","R_L",4,76,0.223717257830322
"529","CH","R_L",4,77,1.30907922831302
"530","CH","R_L",4,78,-4.39480065674373
"531","CH","R_L",4,79,-1.11644003141899
"532","CH","R_L",4,80,-0.0638590719329486
"533","CH","R_L",4,81,1.47637139502575
"534","CH","R_L",4,82,0.934104917656164
"535","CH","R_L",4,83,1.03023863095315
"536","CH","R_L",4,84,1.84919247880845
"537","CH","R_L",4,85,0.46992695520713
"538","CH","R_L",4,86,-0.241105063463824
"539","CH","R_L",4,87,1.81809765031918
"540","CH","R_L",4,88,0.47902248341098
"541","CH","R_L",4,89,2.20147339499884
"542","CH","R_L",4,90,1.31121196128682
"543","CH","R_L",4,91,2.24098903006821
"544","CH","R_L",4,92,-0.110675925920992
"545","CH","R_L",4,93,12.0043225866931
"546","CH","R_L",4,94,17.3372715773441
"547","CH","R_L",5,68,13.1706858338337
"548","CH","R_L",5,69,-7.77853661080768
"549","CH","R_L",5,73,22.0013333779348
"550","CH","R_L",5,74,-5.82636455003143
"551","CH","R_L",5,75,-89.6617375399025
"552","CH","R_L",5,76,-10.5162006342691
"553","CH","R_L",5,77,23.6868512333574
"554","CH","R_L",5,78,-8.9997239580957
"555","CH","R_L",5,79,-5.73178616759526
"556","CH","R_L",5,80,-1.98352881428868
"557","CH","R_L",5,81,-1.01582696798686
"558","CH","R_L",5,82,-4.335805552545
"559","CH","R_L",5,83,-4.21561589545951
"560","CH","R_L",5,84,-1.91038658885453
"561","CH","R_L",5,85,-7.90168132438692
"562","CH","R_L",5,86,-8.44039856812511
"563","CH","R_L",5,87,-7.30538387121754
"564","CH","R_L",5,88,-5.93114912739017
"565","CH","R_L",5,89,-8.08235097258474
"566","CH","R_L",5,90,-1.7521198235807
"567","CH","R_L",5,91,1.971084044656
"568","CH","R_L",5,92,-3.9775634872529
"569","CH","R_L",5,93,-1.28450530953066
"570","CH","R_L",5,94,8.77057045052367
"571","CH","R_L",5,95,-27.6605870221791
"572","CH","R_L",6,47,3.40063141153695
"573","CH","R_L",6,70,-5.13406102965871
"574","CH","R_L",6,72,-2.41751050901475
"575","CH","R_L",6,77,-21.1958078125442
"576","CH","R_L",6,78,-6.5284788159914
"577","CH","R_L",6,79,-15.3105634901624
"578","CH","R_L",6,80,6.23427161778886
"579","CH","R_L",6,81,0.976691776660362
"580","CH","R_L",6,82,0.941321803172909
"581","CH","R_L",6,83,-0.568684296110464
"582","CH","R_L",6,84,1.34429481647537
"583","CH","R_L",6,85,-5.8273138257547
"584","CH","R_L",6,86,-2.88940198296521
"585","CH","R_L",6,87,-5.25665758471981
"586","CH","R_L",6,88,-6.00424407961767
"587","CH","R_L",6,89,-4.53266686639178
"588","CH","R_L",6,90,-7.125877431467
"589","CH","R_L",6,91,-3.5985472662024
"590","CH","R_L",6,92,1.94969638368288
"591","CH","R_L",6,93,-3.38312181670304
"592","CH","R_L",6,94,-1.4719536529019
"593","CH","R_L",7,70,-7.92453084296433
"594","CH","R_L",7,72,-3.39912608591938
"595","CH","R_L",7,73,-7.65330138251122
"596","CH","R_L",7,75,2.95478489555793
"597","CH","R_L",7,76,4.49374132268157
"598","CH","R_L",7,77,5.26035975717926
"599","CH","R_L",7,78,2.62175688850879
"600","CH","R_L",7,79,7.24862407063712
"601","CH","R_L",7,80,0.594980793509483
"602","CH","R_L",7,81,2.81731236094877
"603","CH","R_L",7,82,2.73537756039939
"604","CH","R_L",7,83,2.44599380120242
"605","CH","R_L",7,84,3.89612837132434
"606","CH","R_L",7,85,2.77663091613933
"607","CH","R_L",7,86,4.32307002741365
"608","CH","R_L",7,87,3.13231811265934
"609","CH","R_L",7,88,3.58561545282218
"610","CH","R_L",7,89,5.54731652228584
"611","CH","R_L",7,90,5.22009796287851
"612","CH","R_L",7,91,2.15376411386291
"613","CH","R_L",7,92,1.45226931602285
"614","CH","R_L",7,93,5.84170829217957
"615","CH","R_L",7,94,3.65906480275267
